Date,Timestamp,Adj Close,date,Negative,Nuetral,Positive,sentiment_of_the_period,sentiment_of_the_day
2021-04-05 20:20:00,1617654000000,58962.64,2021-04-05 20:20:00,0.0,3.0,0.0,Nuetral,Nuetral
2021-04-05 20:25:00,1617654300000,58958.28,2021-04-05 20:25:00,0.0,6.0,1.0,Nuetral,Nuetral
2021-04-05 20:30:00,1617654600000,59033.5,2021-04-05 20:30:00,0.0,1.0,1.0,Nuetral,Nuetral
2021-04-05 20:35:00,1617654900000,58944.64,2021-04-05 20:35:00,0.0,0.0,1.0,Positive,Positive
2021-04-05 20:40:00,1617655200000,58925.24,2021-04-05 20:40:00,1.0,0.0,0.0,Negative,Negative
2021-04-05 20:45:00,1617655500000,58829.08,2021-04-05 20:45:00,0.0,0.0,3.0,Positive,Positive
2021-04-05 20:50:00,1617655800000,58762.6,2021-04-05 20:50:00,0.0,2.0,0.0,Nuetral,Nuetral
2021-04-05 20:55:00,1617656100000,58776.52,2021-04-05 20:55:00,0.0,3.0,1.0,Nuetral,Nuetral
2021-04-05 21:00:00,1617656400000,58832.97,2021-04-05 21:00:00,1.0,2.0,1.0,Nuetral,Nuetral
2021-04-05 21:05:00,1617656700000,58889.99,2021-04-05 21:05:00,2.0,3.0,0.0,Nuetral,Nuetral
2021-04-05 21:10:00,1617657000000,58869.59,2021-04-05 21:10:00,0.0,8.0,1.0,Nuetral,Nuetral
2021-04-05 21:15:00,1617657300000,58712.1,2021-04-05 21:15:00,0.0,4.0,2.0,Nuetral,Nuetral
2021-04-05 21:20:00,1617657600000,58750.0,2021-04-05 21:20:00,0.0,2.0,0.0,Nuetral,Nuetral
2021-04-05 21:25:00,1617657900000,58676.01,,0.0,2.0,0.0,,Nuetral
2021-04-05 21:30:00,1617658200000,58552.04,2021-04-05 21:30:00,2.0,1.0,0.0,Negative,Negative
2021-04-05 21:35:00,1617658500000,58582.01,2021-04-05 21:35:00,0.0,1.0,1.0,Nuetral,Nuetral
2021-04-05 21:40:00,1617658800000,58643.84,2021-04-05 21:40:00,0.0,3.0,2.0,Nuetral,Nuetral
2021-04-05 21:45:00,1617659100000,58643.77,2021-04-05 21:45:00,0.0,1.0,2.0,Positive,Positive
2021-04-05 21:50:00,1617659400000,58688.98,2021-04-05 21:50:00,0.0,1.0,2.0,Positive,Positive
2021-04-05 21:55:00,1617659700000,58664.85,2021-04-05 21:55:00,0.0,1.0,1.0,Nuetral,Nuetral
2021-04-05 22:00:00,1617660000000,58818.07,2021-04-05 22:00:00,0.0,2.0,2.0,Nuetral,Nuetral
2021-04-05 22:05:00,1617660300000,58790.81,2021-04-05 22:05:00,0.0,1.0,1.0,Nuetral,Nuetral
2021-04-05 22:10:00,1617660600000,58785.46,2021-04-05 22:10:00,0.0,0.0,2.0,Positive,Positive
2021-04-05 22:15:00,1617660900000,58698.8,2021-04-05 22:15:00,0.0,2.0,0.0,Nuetral,Nuetral
2021-04-05 22:20:00,1617661200000,58807.56,2021-04-05 22:20:00,3.0,0.0,0.0,Negative,Negative
2021-04-05 22:25:00,1617661500000,58864.7,,3.0,0.0,0.0,,Negative
2021-04-05 22:30:00,1617661800000,58819.53,2021-04-05 22:30:00,0.0,2.0,4.0,Positive,Positive
2021-04-05 22:35:00,1617662100000,58741.22,2021-04-05 22:35:00,2.0,0.0,1.0,Negative,Negative
